(274)mk_version***;		1.01;
(275)sett_version*;		0.03;
(276)serial_num_pc;		    1;
(277)complect*****;		    1;
(608)fpga_version*;		1.00;
tconv_start**t=UTC Mon Sep 11 14:10:35 2023
var_name\time***s=;		    0;	   -1;	   -2;	   -3;	   -4;	   -5;	   -6;	   -7;	   -8;	   -9;	  -10;	  -11;	  -12;	  -13;	  -14;	  -15;	  -16;	  -17;	  -18;	  -19;	  -20;	  -21;	  -22;	  -23;	  -24;	  -25;	  -26;	  -27;	  -28;	  -29;	  -30;	  -31;
(512.9)di.avost***;		    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;
(512.10)di.qf1_on*;		    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;
(512.11)di.qf2_on*;		    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;
(512.12)di.qf3_on*;		    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;
(512.13)di.qf4_on*;		    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;
(513.1)Do.ready_on;		    1;	    1;	    0;	    1;	    0;	    1;	    0;	    1;	    1;	    0;	    1;	    0;	    1;	    0;	    1;	    1;	    0;	    1;	    0;	    1;	    0;	    1;	    0;	    0;	    1;	    0;	    1;	    0;	    1;	    0;	    0;	    1;
(513.2)Do.qf_off_i;		    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;
(513.3)Do.vuf_on**;		    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;
(513.4)Do.err_asu_;		    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;
(513.5)Do.on_asu**;		    1;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;
